course,meeting_no,start_date,start_day_no
nakayama,1,2024-01-06,1
kyoto,1,2024-01-06,1
kokura,1,2024-01-13,1
tokyo,1,2024-01-27,1
kyoto,2,2024-01-27,1
kokura,2,2024-02-10,1
nakayama,2,2024-02-24,1
hanshin,1,2024-02-24,1
nakayama,3,2024-03-23,1
hanshin,2,2024-03-23,1
chukyo,1,2024-03-09,1
tokyo,2,2024-04-20,1
kyoto,3,2024-04-20,1
niigata,1,2024-04-27,1
tokyo,3,2024-06-01,1
kyoto,4,2024-06-01,1
hakodate,1,2024-06-08,1
fukushima,2,2024-06-29,1
kokura,3,2024-06-29,1
